id,dimension,indicador,referencias,unidad,calculo,criterio,alcance,evidencia_CB,estado_CB,accion
E01,Energía,Demanda de enfriamiento,"CEELA, EECA 2 y 13; indicador propio",kWh térmicos/año; %,Integrar potencia horaria por zona. Ahorro = 100 × (CB − caso) / CB.,"Reducir respecto al CB; criterio comparativo propio, sin umbral de certificación.","Mismas zonas, clima, calendario y cargas; no sumar enfriamiento sensible y total.","84.759,41 kWh térmicos/año; corrida 09 y series anuales conciliadas.",LB,Priorizar reducción de cargas y contrastar con confort; el CB define el origen de la comparación.
E02,Energía,Eficiencia energética operacional,"EDGE V3, Part 1, p. 7; referencia externa",kWh/año; %,Comparar energía operacional del diseño con el caso de referencia calculado en EDGE.,Ahorro ≥ 20% en la categoría energética EDGE.,El CB de la tesis no sustituye automáticamente la referencia EDGE.,"Electricidad estimada: enfriamiento 45.258,71; equipos 39.307,57; iluminación 13.895,39 kWh/año. Sin modelo EDGE.",NE,"Completar usos finales, áreas y sistemas y construir referencia EDGE; no usar el ahorro térmico como ahorro EDGE."
E03,Envolvente,Transmitancia de cerramientos,"Minergie LATAM 2025.1, A2, tabla 2, pp. 15–16",W/(m² K),"U del sistema completo y límite por elemento, clima, tipología constructiva y compacidad.","U ≤ límite A2 aplicable. Ejemplo sin atenuación, zonas 0–2: cubierta ligera 0,40; muro sólido 0,75.",Confirmar zona climática y compacidad; Ug y proporción acristalada se verifican por fachada.,"U estimada del muro: 2,69 W/m²K con Rsi=0,13 y Rse=0,04; referencia adoptada 0,75 W/m²K.",NC,"Incorporar aislamiento y verificar clima, puentes térmicos y conjunto constructivo."
E04,Envolvente,Protección solar eficaz,"Minergie LATAM, guía 2025.1, A5, pp. 35–38; CEELA, EECA 2",% de superficie transparente; SHGC,Área transparente eficazmente protegida / área transparente total.,"En zonas 0–3: ≥ 90% con SHGC modificado < 0,20 durante riesgo de sobrecalentamiento.","Revisar orientación, sombras y vidrio conjuntamente; longitud del alero no acredita cumplimiento.","Ganancia solar exterior: 33.884,25 kWh/año. Hay protecciones modeladas, sin cobertura eficaz calculada.",EP,Calcular por fachada y horas críticas; repetir con aleros C1/C3 y verificar luz natural.
E05,Energía,Potencia y control de iluminación,"Minergie LATAM 2025.1, T3, p. 27; CEELA, EECA 10",W/m²; cobertura de controles,Potencia instalada / área por recinto; verificar LED y alcance de automatización.,"≤ 8 W/m², LED y control sobre ≥ 80% de potencia o todos los recintos regularmente ocupados.",Requisito para oficinas y espacios exteriores; conservar iluminancia de tarea y comprobar LED con ficha técnica.,"19 zonas con objetos Lights: 10, 15 o 25 W/m². Todas superan 8 W/m².",NC,"Contrastar con especificación eléctrica real; ensayar LED y controles en una nueva revisión, conservando la línea base."
C01,Confort,Aceptabilidad térmica ocupada,"WELL v2 Q4 2020, T01.1, opción 1, p. 161",% horas y % espacios ocupados,Evaluar PMV por recinto y hora; en modo natural aplicar modelo adaptativo admisible.,"Ruta mecánica seleccionada: PMV entre −0,5 y +0,5 en ≥ 90% de horas y ≥ 90% de espacios regularmente ocupados.","En modo mixto separar periodos mecánicos y naturales; documentar met, clo, velocidad, humedad y radiación.","Temperatura operativa media 26,53 °C; 80 días con media > 28 °C. Sin evaluación ocupada completa.",EP,Calcular por zona con hipótesis declaradas; una media diaria no evalúa T01. La simulación no sustituye ensayo en obra.
C02,Aire interior,Suministro de aire exterior,"Minergie LATAM 2025.1, T4, pp. 28–29; CEELA, EECA 6",L/s por persona; L/s por m²,"Separar aire exterior de infiltración; verificar caudal, filtración y recuperación.","En los recintos indicados por T4: caudal ≥ 1,30 veces referencia local o ASHRAE 62.1 si no existe.",Aplicar variante oficinas y condiciones de exención; ventilación natural no prueba calidad de aire.,"1,68 renovaciones/hora, media conjunta de ventilación e infiltración; sin verificación de T4.",EP,Documentar caudal por recinto y tratamiento del aire; comprobar recuperación y ruido según guía.
C03,Iluminación natural,Autonomía lumínica y exposición solar,"LEED v4.1 BD+C, guía abril 2019, EQ Daylight, opción 1",% área regularmente ocupada,"Calcular sDA300/50% y ASE1000,250 con simulación anual.",sDA ≥ 40% como nivel de entrada del crédito; documentar control de deslumbramiento donde ASE supere 10%.,Crédito opcional usado como referencia; no es requisito mínimo para certificar todo el edificio.,"68,37% del área calculada supera FLD 2% bajo cielo cubierto. Es una métrica estática distinta.",EP,Generar simulación anual y delimitar superficie regularmente ocupada; no convertir FLD en sDA.
A01,Agua,Uso eficiente del agua,"EDGE V3, Part 1, p. 7; CEELA, EECA 12",m³/año; %,"Volumen de agua según usos, caudales, frecuencias y ocupación; contraste EDGE.",Ahorro ≥ 20% en la categoría agua EDGE.,Mantener igual población y frecuencia de uso; documentar todos los usos aplicables.,No hay inventario completo de aparatos ni balance de agua del proyecto.,NE,"Levantar caudales y descargas, usuarios y riego; calcular referencia y propuesta."
M01,Materiales,Carbono incorporado,"EDGE V3, Part 5, introducción y anexo 1; CEELA, EECA 3",kg CO2e; kg CO2e/m²; %,Sumar cantidades × factores ambientales compatibles; contraste material EDGE.,"Meta de reducción ≥ 20% para categoría materiales EDGE; en V3, cálculo de carbono incorporado.",Fijar misma unidad funcional y alcance de módulos; añadir transporte insular por separado.,Capas y propiedades térmicas disponibles; sin inventario ambiental verificable.,NE,Obtener cantidades y EPD o factores trazables; una cubierta reflectante no acredita bajo carbono.
M02,Salud y materiales,Emisiones de productos interiores,"WELL v2 Q4 2020, X06; CEELA, EECA 5",% productos documentados,"Inventario de acabados, adhesivos y pinturas con ficha de emisiones aplicable.",Meta documental propia: 100% de productos de la intervención con verificación de emisiones; aplicar límites del ensayo seleccionado.,La cobertura documental no equivale a obtener el crédito WELL X06.,No se dispone de fichas de emisiones de los productos especificados.,NE,Identificar productos y ensayos; separar contenido de COV de emisiones al aire interior.
E06,Energía renovable,Autoproducción,"Minergie LATAM 2025.1, T2, p. 26; CEELA, EECA 14",kWp; kWh/año,Dimensionar respecto a superficie de referencia energética y estimar producción.,"Ruta fotovoltaica: ≥ 0,010 kWp/m² SRE; el requisito se limita a 30 kWp.","Ruta seleccionada para oficinas; justificar superficie, sombras y posibles restricciones locales.",No hay objetos fotovoltaicos en el IDF auditado; no se acredita instalación en el proyecto.,NE,"Verificar planos eléctricos y SRE; dimensionar y documentar sistema, conexión y mantenimiento."
E07,Sistemas,Refrigeración eficiente,"Minergie LATAM 2025.1, T5, p. 30; CEELA, EECA 13",SEER; kW,"Verificar ficha de equipo, refrigerante y potencia instalada frente a carga de diseño.",SEER ≥ 6 kW/kW (método europeo) y sobredimensionamiento ≤ 15% en oficinas; revisar refrigerante y recuperación.,No convertir directamente COP del modelo en SEER; aplicar las condiciones climáticas de T5.,Sistema de cargas ideales y electricidad estimada; sin selección final de equipos documentada.,NE,"Seleccionar equipo y potencia; verificar humedad, refrigerante y recuperación sin cambiar supuestos entre casos."
G01,Operación,Monitoreo y control,"CEELA, EECA 15; Minergie O1–O3; criterio documental propio",Cobertura documental,"Comprobar plan con variables, medidores, responsables, frecuencia y mantenimiento.","Plan completo de energía, agua y ambiente interior para la fase de operación.",Evaluación de diseño; los datos simulados no sustituyen medición posterior.,Archivos y corridas trazables; sin plan de medición operativa del edificio.,NE,Preparar cuadro de medidores y protocolo de seguimiento y ajuste.
G02,Contexto insular,Viabilidad de materiales y soluciones,"CEELA, EECA 1 y 3; adaptación propia a Galápagos",Ficha por solución,"Comparar procedencia, transporte, vida útil, humedad/salinidad, mantenimiento y costo.",Todas las soluciones propuestas con ficha de viabilidad y fuentes; menor impacto debe demostrarse.,Criterio propio de selección; no supone que cualquier material local o reciclado sea automáticamente sostenible.,"Clima documentado; falta contraste de proveedores, transporte, durabilidad y costo.",EP,Comparar alternativas por igual servicio y vida útil; justificar selección sin inventar valores ambientales.
